epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,957.589,1.12266,2.27193,0.83869,1.24555,0.69016,0.81325,0.83526,0.58489,0.69016,0.81325,0.83421,0.45518,1.11786,2.18234,0.81592,1.32212,0.000860473,0.000860473,0.000860473
51,977.237,1.09805,2.30053,0.83399,1.23738,0.68485,0.82788,0.82057,0.58716,0.6831,0.82874,0.8193,0.47371,1.10959,2.16597,0.85957,1.3334,0.000855018,0.000855018,0.000855018
52,996.442,1.10914,2.33381,0.82567,1.22821,0.64825,0.83477,0.83156,0.60739,0.64825,0.83477,0.83088,0.48093,1.05848,2.0379,0.81377,1.28209,0.000849477,0.000849477,0.000849477
53,1015.38,1.11008,2.27722,0.83187,1.24496,0.7016,0.8053,0.8318,0.58824,0.7016,0.8053,0.83089,0.46317,1.11754,2.0651,0.83365,1.32236,0.000843851,0.000843851,0.000843851
54,1034.58,1.08758,2.29094,0.83482,1.23456,0.71977,0.83133,0.84991,0.61868,0.71977,0.83133,0.84907,0.49035,1.05958,1.99189,0.78894,1.29318,0.000838141,0.000838141,0.000838141
55,1053.99,1.06921,2.28253,0.81733,1.22388,0.70602,0.8167,0.83899,0.60868,0.71051,0.81318,0.83835,0.47986,1.08706,2.08866,0.79507,1.30735,0.000832349,0.000832349,0.000832349
56,1073.17,1.08374,2.24788,0.83721,1.22709,0.66499,0.84165,0.83058,0.60188,0.66499,0.84165,0.8301,0.47653,1.10679,2.05049,0.81604,1.32526,0.000826477,0.000826477,0.000826477
57,1092.11,1.07959,2.2791,0.83823,1.22512,0.71175,0.79472,0.84146,0.61036,0.71146,0.79575,0.84162,0.48552,1.05479,2.04962,0.78496,1.2788,0.000820525,0.000820525,0.000820525
58,1111.23,1.09692,2.29855,0.82979,1.22415,0.724,0.80816,0.85366,0.61401,0.72477,0.80903,0.85346,0.48929,1.12117,2.1352,0.81507,1.34809,0.000814495,0.000814495,0.000814495
59,1130.38,1.10126,2.28783,0.83439,1.23166,0.69552,0.77453,0.83148,0.59263,0.69469,0.77797,0.83114,0.4772,1.10353,2.05421,0.81949,1.31819,0.000808389,0.000808389,0.000808389
60,1149.33,1.09456,2.28642,0.82461,1.21967,0.67674,0.83391,0.82981,0.59227,0.67744,0.83477,0.82972,0.47818,1.08249,1.96213,0.81087,1.30893,0.000802208,0.000802208,0.000802208
61,1168.01,1.06831,2.2099,0.82664,1.2173,0.6763,0.79862,0.8187,0.58961,0.67726,0.80034,0.82048,0.47471,1.10203,2.01549,0.82664,1.32708,0.000795954,0.000795954,0.000795954
62,1187,1.0775,2.23337,0.81814,1.22176,0.65053,0.83993,0.82569,0.59691,0.65119,0.84079,0.8264,0.47438,1.08015,1.97597,0.81495,1.30488,0.000789628,0.000789628,0.000789628
63,1205.7,1.06031,2.20115,0.80569,1.21117,0.68386,0.82702,0.83713,0.60982,0.68358,0.82788,0.837,0.48344,1.04371,1.97957,0.78808,1.27371,0.000783231,0.000783231,0.000783231
64,1224.27,1.05806,2.20361,0.79977,1.22666,0.66959,0.82616,0.82588,0.58554,0.66959,0.82616,0.82526,0.48506,1.1487,2.05191,0.80987,1.3436,0.000776766,0.000776766,0.000776766
65,1243.48,1.03542,2.1856,0.77631,1.18579,0.69667,0.83219,0.82845,0.60257,0.69633,0.83219,0.82776,0.49262,1.07008,2.00349,0.80701,1.32005,0.000770234,0.000770234,0.000770234
66,1262.65,1.07044,2.22231,0.78625,1.20483,0.69296,0.82272,0.84098,0.60546,0.69369,0.82358,0.84048,0.48027,1.06094,1.99009,0.80271,1.28419,0.000763637,0.000763637,0.000763637
67,1282,1.08806,2.23933,0.83507,1.22011,0.68331,0.81497,0.83026,0.59362,0.68331,0.81497,0.8299,0.48142,1.10859,2.00297,0.79808,1.32142,0.000756976,0.000756976,0.000756976
68,1300.61,1.06305,2.20772,0.81433,1.20762,0.69269,0.81756,0.82187,0.58248,0.6898,0.8167,0.82196,0.47124,1.14079,2.03984,0.80821,1.35009,0.000750252,0.000750252,0.000750252
69,1319.73,1.06863,2.20274,0.8054,1.19567,0.65601,0.8494,0.83063,0.59813,0.65666,0.85257,0.83027,0.48233,1.0814,1.98013,0.79415,1.29792,0.000743468,0.000743468,0.000743468
70,1338.74,1.03301,2.13915,0.78141,1.20199,0.69487,0.80746,0.83202,0.60088,0.67999,0.81411,0.8308,0.47422,1.06257,1.93338,0.78042,1.28547,0.000736625,0.000736625,0.000736625
71,1357.22,1.033,2.14374,0.79635,1.20495,0.70596,0.79088,0.7951,0.54497,0.70479,0.78916,0.79259,0.44115,1.20577,2.14625,0.84997,1.40031,0.000729725,0.000729725,0.000729725
72,1376,1.05096,2.1733,0.81061,1.1979,0.6604,0.8334,0.82709,0.58622,0.65259,0.83993,0.82591,0.46953,1.0997,1.9826,0.80412,1.3131,0.00072277,0.00072277,0.00072277
73,1394.94,1.05527,2.25278,0.80422,1.1874,0.68431,0.83649,0.84405,0.60762,0.68501,0.83735,0.84327,0.50406,1.10326,1.96531,0.76805,1.33544,0.000715761,0.000715761,0.000715761
74,1414.27,1.01791,2.1306,0.78098,1.18056,0.68256,0.8494,0.84953,0.60413,0.68098,0.85284,0.84915,0.49268,1.11052,1.95658,0.77053,1.33074,0.0007087,0.0007087,0.0007087
