epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,976.087,0.82962,1.76105,0.63515,1.01296,0.72115,0.87522,0.88237,0.69079,0.72115,0.87522,0.88201,0.58276,0.86134,1.41226,0.62016,1.16218,0.000855018,0.000855018,0.000855018
52,995.86,0.82765,1.7719,0.62288,1.01134,0.73515,0.79543,0.8581,0.66459,0.7374,0.79002,0.85719,0.55123,0.88058,1.51767,0.68341,1.19735,0.000849477,0.000849477,0.000849477
53,1014.59,0.81986,1.71395,0.62213,1.00771,0.73047,0.8513,0.88138,0.69312,0.72825,0.84872,0.87859,0.56702,0.86048,1.5188,0.63635,1.18569,0.000843851,0.000843851,0.000843851
54,1033.58,0.81058,1.73823,0.61024,1.00894,0.74007,0.83391,0.87599,0.67112,0.7393,0.83305,0.87496,0.51828,0.87351,1.5933,0.64093,1.18719,0.000838141,0.000838141,0.000838141
55,1052.54,0.81572,1.76288,0.62044,1.01128,0.72142,0.82444,0.87434,0.68247,0.72142,0.82444,0.87386,0.55716,0.84635,1.54668,0.63613,1.15616,0.000832349,0.000832349,0.000832349
56,1072.36,0.81669,1.70447,0.63858,1.01141,0.72851,0.83907,0.87828,0.68885,0.7278,0.83477,0.87704,0.56223,0.85185,1.47022,0.65217,1.20507,0.000826477,0.000826477,0.000826477
57,1091.52,0.82163,1.73729,0.62784,1.02036,0.72424,0.82495,0.8663,0.67116,0.72424,0.82495,0.8655,0.533,0.85033,1.50879,0.63066,1.17378,0.000820525,0.000820525,0.000820525
58,1111.13,0.82894,1.76134,0.61898,1.01392,0.71945,0.79226,0.85477,0.66539,0.72648,0.77942,0.854,0.54377,0.85578,1.46763,0.67771,1.17071,0.000814495,0.000814495,0.000814495
59,1130.21,0.83177,1.76072,0.64014,1.01937,0.68871,0.85886,0.84936,0.65764,0.68934,0.86125,0.84992,0.53587,0.86963,1.53263,0.65363,1.18738,0.000808389,0.000808389,0.000808389
60,1149.38,0.82089,1.75166,0.62547,1.01242,0.70857,0.81239,0.84044,0.64685,0.70632,0.80981,0.83804,0.52303,0.85661,1.54415,0.675,1.15,0.000802208,0.000802208,0.000802208
61,1168.73,0.79935,1.6846,0.62674,1.00288,0.69721,0.8167,0.82593,0.62679,0.69678,0.81497,0.82469,0.4961,0.90136,1.58438,0.68198,1.19475,0.000795954,0.000795954,0.000795954
62,1187.78,0.83168,1.72009,0.62683,1.02033,0.74312,0.79862,0.86134,0.67861,0.74072,0.79948,0.85968,0.55784,0.82616,1.46349,0.66671,1.16066,0.000789628,0.000789628,0.000789628
63,1207.17,0.80738,1.67858,0.60964,1.00895,0.72682,0.87091,0.87428,0.68818,0.72682,0.87091,0.87403,0.56372,0.85074,1.46006,0.63721,1.17287,0.000783231,0.000783231,0.000783231
64,1226.04,0.80276,1.65786,0.60853,1.01827,0.74693,0.83907,0.881,0.68785,0.75063,0.83477,0.88062,0.56794,0.87837,1.48111,0.63614,1.20508,0.000776766,0.000776766,0.000776766
65,1245.81,0.7912,1.67372,0.59161,0.98983,0.77112,0.83504,0.88251,0.69577,0.77033,0.83418,0.881,0.57654,0.82912,1.43147,0.63193,1.1612,0.000770234,0.000770234,0.000770234
