epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1329.3,0.72144,1.48452,0.53007,0.96574,0.6912,0.83793,0.84486,0.646,0.68927,0.8323,0.8409,0.52486,0.87713,1.49585,0.72804,1.18825,0.00060538,0.00060538,0.00060538
89,1344.35,0.71956,1.50421,0.5266,0.96958,0.7477,0.80465,0.84344,0.6565,0.7461,0.80293,0.84148,0.53439,0.87453,1.51376,0.65099,1.19236,0.000597754,0.000597754,0.000597754
90,1359.41,0.75006,1.56524,0.54719,0.98061,0.66561,0.84279,0.84025,0.64958,0.66425,0.84107,0.83833,0.52334,0.86208,1.54701,0.69486,1.18251,0.000590105,0.000590105,0.000590105
91,1374.47,0.73966,1.60041,0.54004,0.97774,0.68846,0.81587,0.83803,0.65663,0.68701,0.81415,0.83638,0.54457,0.84297,1.5202,0.65882,1.166,0.000582435,0.000582435,0.000582435
92,1389.5,0.72819,1.56516,0.52885,0.96522,0.68189,0.81721,0.83356,0.64698,0.68045,0.81548,0.83269,0.52442,0.85193,1.53951,0.73813,1.17095,0.000574746,0.000574746,0.000574746
93,1404.79,0.74409,1.58728,0.54743,0.97225,0.73157,0.78338,0.85047,0.65432,0.7317,0.77919,0.8492,0.53144,0.86174,1.51601,0.66217,1.17481,0.00056704,0.00056704,0.00056704
94,1419.93,0.72142,1.5178,0.53577,0.96746,0.68439,0.83907,0.83654,0.63956,0.68609,0.82572,0.83322,0.50996,0.88092,1.57065,0.69972,1.19586,0.000559318,0.000559318,0.000559318
95,1434.99,0.72069,1.51397,0.52901,0.9662,0.72747,0.78564,0.85092,0.66457,0.72667,0.78478,0.84885,0.54714,0.86564,1.48469,0.71184,1.18063,0.000551584,0.000551584,0.000551584
96,1450.1,0.70991,1.51037,0.51233,0.96185,0.7358,0.8253,0.85159,0.65698,0.73426,0.82358,0.84849,0.53893,0.88357,1.50199,0.70358,1.18499,0.000543837,0.000543837,0.000543837
97,1465.03,0.71123,1.47561,0.52999,0.97745,0.69183,0.7979,0.817,0.62315,0.68959,0.79532,0.81263,0.501,0.89867,1.52127,0.77384,1.20777,0.000536081,0.000536081,0.000536081
98,1480.03,0.73446,1.56209,0.53387,0.98953,0.72408,0.81978,0.84874,0.65932,0.72256,0.81806,0.84604,0.5276,0.8766,1.52882,0.68821,1.19334,0.000528318,0.000528318,0.000528318
99,1495.75,0.72823,1.6174,0.52526,0.96585,0.67766,0.8296,0.83654,0.64729,0.67537,0.82538,0.83319,0.53238,0.86665,1.50887,0.69043,1.17886,0.000520548,0.000520548,0.000520548
100,1510.73,0.71743,1.5659,0.51683,0.96859,0.7187,0.81497,0.84341,0.64909,0.71794,0.81411,0.84057,0.53569,0.89177,1.52739,0.70654,1.19696,0.000512775,0.000512775,0.000512775
101,1525.79,0.71662,1.49493,0.51275,0.96593,0.67553,0.8167,0.82607,0.63753,0.67624,0.81756,0.8251,0.51954,0.87896,1.56447,0.72927,1.19279,0.000505,0.000505,0.000505
102,1541.03,0.71972,1.5852,0.5165,0.96,0.71446,0.82788,0.83511,0.65197,0.7152,0.82874,0.83476,0.53086,0.86228,1.48162,0.73173,1.18323,0.000497225,0.000497225,0.000497225
103,1556.17,0.71165,1.49508,0.51199,0.96717,0.73565,0.80467,0.83471,0.64709,0.7379,0.80194,0.83374,0.52251,0.86403,1.48795,0.71528,1.17113,0.000489452,0.000489452,0.000489452
104,1571.22,0.70568,1.51963,0.5097,0.96159,0.70026,0.84165,0.85238,0.64511,0.69212,0.85124,0.85183,0.52333,0.89825,1.51263,0.71767,1.19607,0.000481682,0.000481682,0.000481682
105,1586.3,0.72419,1.55686,0.51765,0.96504,0.73544,0.78227,0.85304,0.66235,0.73302,0.77969,0.85091,0.53712,0.85987,1.51604,0.7138,1.18638,0.000473919,0.000473919,0.000473919
106,1601.61,0.71108,1.47912,0.50899,0.96435,0.70184,0.80034,0.84009,0.64767,0.70118,0.79346,0.83833,0.53289,0.86445,1.5004,0.72727,1.18413,0.000466163,0.000466163,0.000466163
107,1616.59,0.69883,1.45842,0.49561,0.96253,0.73096,0.77625,0.85794,0.66165,0.72934,0.77453,0.85555,0.53889,0.87067,1.48964,0.69989,1.19102,0.000458416,0.000458416,0.000458416
108,1632.05,0.70807,1.51234,0.50677,0.96725,0.7289,0.80379,0.8604,0.67269,0.72812,0.80293,0.8585,0.5543,0.83292,1.51922,0.64708,1.16923,0.000450682,0.000450682,0.000450682
109,1647.23,0.71018,1.5038,0.50475,0.95245,0.69164,0.77711,0.82399,0.62519,0.69132,0.7748,0.82103,0.50497,0.88789,1.5703,0.76432,1.19193,0.00044296,0.00044296,0.00044296
110,1662.61,0.69197,1.46888,0.49082,0.94967,0.70134,0.80034,0.83202,0.64438,0.69984,0.79862,0.82832,0.51721,0.84954,1.50682,0.72218,1.1696,0.000435254,0.000435254,0.000435254
111,1677.48,0.69769,1.48973,0.49626,0.96018,0.68231,0.83133,0.83094,0.64355,0.68048,0.8296,0.82834,0.51873,0.85258,1.51083,0.70579,1.17311,0.000427565,0.000427565,0.000427565
112,1692.51,0.70265,1.51823,0.49708,0.9591,0.65227,0.83136,0.8161,0.61873,0.65052,0.83046,0.81306,0.49823,0.8992,1.5253,0.7704,1.19195,0.000419895,0.000419895,0.000419895
113,1707.94,0.69501,1.47754,0.49857,0.95766,0.72057,0.80113,0.83723,0.64657,0.71065,0.81583,0.83429,0.5259,0.86296,1.48225,0.76211,1.17308,0.000412246,0.000412246,0.000412246
114,1723.06,0.70719,1.49485,0.50201,0.94786,0.68377,0.82616,0.82879,0.64157,0.68306,0.8253,0.82663,0.51029,0.85343,1.51905,0.74024,1.16529,0.00040462,0.00040462,0.00040462
115,1737.76,0.68591,1.41573,0.48602,0.96516,0.66769,0.81962,0.82639,0.63416,0.66629,0.81789,0.82305,0.5132,0.87326,1.60417,0.72238,1.17876,0.000397019,0.000397019,0.000397019
116,1753.23,0.69969,1.54298,0.48872,0.94989,0.68502,0.80668,0.83685,0.6491,0.6835,0.80379,0.83318,0.52545,0.86269,1.52409,0.81029,1.1623,0.000389445,0.000389445,0.000389445
117,1768.31,0.70023,1.44981,0.48712,0.95687,0.68317,0.85886,0.84371,0.65969,0.68206,0.85714,0.84198,0.54305,0.85237,1.50974,0.70065,1.16376,0.000381899,0.000381899,0.000381899
118,1783.21,0.70528,1.52665,0.49254,0.96393,0.69924,0.82232,0.84586,0.65276,0.69631,0.81888,0.84234,0.53012,0.86381,1.55208,0.7352,1.17669,0.000374383,0.000374383,0.000374383
119,1798.42,0.67969,1.452,0.47166,0.95468,0.71468,0.82344,0.8417,0.65074,0.71213,0.821,0.83991,0.52717,0.86427,1.51665,0.72189,1.17808,0.000366899,0.000366899,0.000366899
120,1813.9,0.68472,1.50598,0.48195,0.94591,0.72361,0.80981,0.8438,0.65157,0.72386,0.80759,0.84176,0.52462,0.86282,1.52939,0.70883,1.18025,0.00035945,0.00035945,0.00035945
121,1829.05,0.68185,1.48539,0.47586,0.9459,0.72433,0.80293,0.83778,0.65029,0.722,0.80034,0.83466,0.52053,0.85937,1.53718,0.69721,1.17435,0.000352037,0.000352037,0.000352037
122,1843.91,0.69752,1.51289,0.47921,0.94958,0.69888,0.7883,0.81854,0.62847,0.69751,0.78571,0.81535,0.50315,0.89394,1.55077,0.81856,1.19404,0.000344661,0.000344661,0.000344661
123,1858.93,0.66777,1.40841,0.46673,0.94751,0.73162,0.80637,0.84436,0.66373,0.73006,0.80465,0.84149,0.53672,0.84166,1.47839,0.70552,1.155,0.000337325,0.000337325,0.000337325
124,1874.11,0.68519,1.47968,0.4837,0.94806,0.69981,0.82616,0.83741,0.65494,0.69805,0.82358,0.83538,0.53489,0.85021,1.55104,0.69032,1.17467,0.00033003,0.00033003,0.00033003
125,1889.32,0.70206,1.49412,0.49328,0.94981,0.67123,0.83133,0.83331,0.63656,0.67019,0.8296,0.82974,0.5143,0.89414,1.55189,0.783,1.19431,0.000322778,0.000322778,0.000322778
126,1904.62,0.67871,1.49805,0.4685,0.95019,0.68832,0.80204,0.82064,0.63697,0.68685,0.80032,0.81698,0.50703,0.84915,1.55908,0.74444,1.16658,0.000315572,0.000315572,0.000315572
127,1919.84,0.68099,1.45231,0.47365,0.94913,0.68656,0.82272,0.8248,0.63352,0.68623,0.821,0.82197,0.51425,0.87959,1.55332,0.72011,1.18185,0.000308412,0.000308412,0.000308412
