filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.08m_sample_07.png,0.08m,YOLOv8l-seg,13,6,4,0.8828,948.704,957.172,-8.468,34.755,34.91,-0.155
0.15m_01_20.png,0.15m,Hybrid-v11-SAM,36,10,17,0.7927,2880.27,3859.775,-979.505,60.558,70.103,-9.545
0.15m_01_20.png,0.15m,Hybrid-v8-SAM,36,19,17,0.7942,3255.278,3859.775,-604.497,64.38,70.103,-5.723
0.15m_01_20.png,0.15m,Mask-RCNN,48,26,5,0.8209,5422.365,3859.775,1562.59,83.09,70.103,12.987
0.15m_01_20.png,0.15m,YOLOv11-ablation,37,16,16,0.7968,4249.327,3859.775,389.553,73.556,70.103,3.453
0.15m_01_20.png,0.15m,YOLOv11l-seg,26,4,27,0.8507,2251.373,3859.775,-1608.402,53.54,70.103,-16.563
0.15m_01_20.png,0.15m,YOLOv8l-seg,28,13,25,0.8317,2941.74,3859.775,-918.035,61.201,70.103,-8.902
0.15m_01_27.png,0.15m,Hybrid-v11-SAM,43,2,23,0.7994,2810.07,4641.326,-1831.256,59.815,76.873,-17.058
0.15m_01_27.png,0.15m,Hybrid-v8-SAM,46,18,20,0.7964,3803.918,4641.326,-837.408,69.594,76.873,-7.28
0.15m_01_27.png,0.15m,Mask-RCNN,52,21,14,0.8247,5357.16,4641.326,715.834,82.589,76.873,5.716
0.15m_01_27.png,0.15m,YOLOv11-ablation,46,15,20,0.778,4751.392,4641.326,110.067,77.78,76.873,0.906
0.15m_01_27.png,0.15m,YOLOv11l-seg,31,1,35,0.8377,2308.432,4641.326,-2332.893,54.214,76.873,-22.659
0.15m_01_27.png,0.15m,YOLOv8l-seg,38,10,28,0.8289,3359.182,4641.326,-1282.143,65.399,76.873,-11.474
0.15m_sample_01.png,0.15m,Hybrid-v11-SAM,38,7,19,0.7966,2575.44,3804.769,-1229.329,57.264,69.602,-12.338
0.15m_sample_01.png,0.15m,Hybrid-v8-SAM,30,18,27,0.8069,2568.533,3804.769,-1236.236,57.187,69.602,-12.415
0.15m_sample_01.png,0.15m,Mask-RCNN,27,9,30,0.8404,2446.447,3804.769,-1358.321,55.811,69.602,-13.79
0.15m_sample_01.png,0.15m,YOLOv11-ablation,27,9,30,0.7879,2886.165,3804.769,-918.604,60.62,69.602,-8.982
